States,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,,Proportion of moderate to hazardous days,,States,Average proportion per state
Alabama,Baldwin,2022,281,237,44,0,0,0,0,Alabama,0.16,,Alabama,0.27
Alabama,Clay,2022,115,91,24,0,0,0,0,Alabama,0.21,,Alaska,0.12
Alabama,DeKalb,2022,364,323,41,0,0,0,0,Alabama,0.11,,Arizona,0.33
Alabama,Elmore,2022,240,232,8,0,0,0,0,Alabama,0.03,,Arkansas,0.30
Alabama,Etowah,2022,359,224,135,0,0,0,0,,0.38,,California,0.46
Alabama,Jefferson,2022,365,128,235,2,0,0,0,Alabama,0.65,,Colorado,0.25
Alabama,Lawrence,2022,102,92,10,0,0,0,0,Alabama,0.10,,Connecticut,0.22
Alabama,Madison,2022,365,201,164,0,0,0,0,Alabama,0.45,,Delaware,0.31
Alabama,Mobile,2022,363,235,128,0,0,0,0,Alabama,0.35,,District Of Columbia,
Alabama,Montgomery,2022,363,269,94,0,0,0,0,Alabama,0.26,,Florida,0.24
Alabama,Morgan,2022,365,208,156,1,0,0,0,Alabama,0.43,,Georgia,0.30
Alabama,Russell,2022,364,208,156,0,0,0,0,Alabama,0.43,,Hawaii,0.03
Alabama,Shelby,2022,245,225,19,1,0,0,0,Alabama,0.08,,Idaho,0.28
Alabama,Sumter,2022,355,266,89,0,0,0,0,Alabama,0.25,,Illinois,0.34
Alabama,Tuscaloosa,2022,280,240,40,0,0,0,0,Alabama,0.14,,Indiana,0.25
Alaska,Aleutians East,2022,121,119,2,0,0,0,0,Alaska,0.02,,Iowa,0.27
Alaska,Anchorage,2022,365,302,62,1,0,0,0,Alaska,0.17,,Kansas,0.29
Alaska,Denali,2022,338,328,10,0,0,0,0,Alaska,0.03,,Kentucky,0.23
Alaska,Fairbanks North Star,2022,365,213,105,18,27,1,1,Alaska,0.42,,Louisiana,0.29
Alaska,Juneau,2022,342,291,51,0,0,0,0,Alaska,0.15,,Maine,0.08
Alaska,Kenai Peninsula,2022,120,119,1,0,0,0,0,Alaska,0.01,,Maryland,0.19
Alaska,Matanuska-Susitna,2022,341,301,40,0,0,0,0,Alaska,0.12,,Massachusetts,0.23
Alaska,North Slope,2022,100,95,4,0,1,0,0,Alaska,0.05,,Michigan,0.24
Arizona,Apache,2022,363,359,4,0,0,0,0,Arizona,0.01,,Minnesota,0.14
Arizona,Cochise,2022,365,291,73,1,0,0,0,Arizona,0.20,,Mississippi,0.31
Arizona,Coconino,2022,365,279,85,1,0,0,0,Arizona,0.24,,Missouri,0.22
Arizona,Gila,2022,365,245,102,16,2,0,0,Arizona,0.33,,Montana,0.19
Arizona,La Paz,2022,359,275,83,1,0,0,0,Arizona,0.23,,Nebraska,0.1
Arizona,Maricopa,2022,365,27,242,73,17,6,0,Arizona,0.93,,Nevada,0.25
Arizona,Mohave,2022,357,340,16,1,0,0,0,Arizona,0.05,,New Hampshire,0.10
Arizona,Navajo,2022,364,307,57,0,0,0,0,Arizona,0.16,,New Jersey,0.27
Arizona,Pima,2022,365,147,205,13,0,0,0,Arizona,0.60,,New Mexico,0.22
Arizona,Pinal,2022,365,91,238,28,3,2,3,Arizona,0.75,,New York,0.16
Arizona,Santa Cruz,2022,357,220,136,1,0,0,0,Arizona,0.38,,North Carolina,0.20
Arizona,Yavapai,2022,365,341,24,0,0,0,0,Arizona,0.07,,North Dakota,0.17
Arizona,Yuma,2022,365,228,128,9,0,0,0,Arizona,0.38,,Ohio,0.25
Arkansas,Arkansas,2022,115,78,37,0,0,0,0,Arkansas,0.32,,Oklahoma,0.34
Arkansas,Ashley,2022,117,83,34,0,0,0,0,Arkansas,0.29,,Oregon,0.29
Arkansas,Clark,2022,363,350,13,0,0,0,0,Arkansas,0.04,,Pennsylvania,0.31
Arkansas,Crittenden,2022,365,215,146,3,1,0,0,Arkansas,0.41,,Rhode Island,0.16
Arkansas,Garland,2022,112,72,40,0,0,0,0,Arkansas,0.36,,South Carolina,0.25
Arkansas,Jackson,2022,115,78,37,0,0,0,0,Arkansas,0.32,,South Dakota,0.15
Arkansas,Newton,2022,365,337,27,1,0,0,0,Arkansas,0.08,,Tennessee,0.23
Arkansas,Polk,2022,350,308,40,2,0,0,0,Arkansas,0.12,,Texas,0.33
Arkansas,Pulaski,2022,365,153,211,1,0,0,0,Arkansas,0.58,,Utah,0.29
Arkansas,Union,2022,115,65,50,0,0,0,0,Arkansas,0.43,,Vermont,0.13
Arkansas,Washington,2022,365,214,148,3,0,0,0,Arkansas,0.41,,Virginia,0.12
California,Alameda,2022,365,185,175,5,0,0,0,California,0.49,,Washington,0.24
California,Amador,2022,364,333,30,1,0,0,0,California,0.09,,West Virginia,0.16
California,Butte,2022,365,191,171,3,0,0,0,California,0.48,,Wisconsin,0.2
California,Calaveras,2022,364,286,77,1,0,0,0,California,0.21,,Wyoming,0.15
California,Colusa,2022,363,240,122,1,0,0,0,California,0.34,,,
California,Contra Costa,2022,365,175,188,2,0,0,0,California,0.52,,,
California,Del Norte,2022,344,299,45,0,0,0,0,California,0.13,,,
California,El Dorado,2022,365,258,93,12,2,0,0,California,0.29,,,
California,Fresno,2022,365,78,217,67,3,0,0,California,0.79,,,
California,Glenn,2022,360,264,95,1,0,0,0,California,0.27,,,
California,Humboldt,2022,365,340,25,0,0,0,0,California,0.07,,,
California,Imperial,2022,365,86,232,34,5,2,6,California,0.76,,,
California,Inyo,2022,365,117,217,18,4,4,5,California,0.68,,,
California,Kern,2022,365,47,196,109,12,1,0,California,0.87,,,
California,Kings,2022,365,71,244,48,2,0,0,California,0.81,,,
California,Lake,2022,363,359,4,0,0,0,0,California,0.01,,,
California,Los Angeles,2022,365,17,254,65,28,1,0,California,0.95,,,
California,Madera,2022,365,147,205,13,0,0,0,California,0.60,,,
California,Marin,2022,365,275,90,0,0,0,0,California,0.25,,,
California,Mariposa,2022,365,211,125,8,21,0,0,California,0.42,,,
California,Mendocino,2022,365,129,234,2,0,0,0,California,0.65,,,
California,Merced,2022,365,140,212,13,0,0,0,California,0.62,,,
California,Mono,2022,365,276,61,5,7,1,15,California,0.24,,,
California,Monterey,2022,365,299,66,0,0,0,0,California,0.18,,,
California,Nevada,2022,365,185,161,11,3,5,0,California,0.49,,,
California,Orange,2022,365,143,215,5,2,0,0,California,0.61,,,
California,Placer,2022,365,156,185,15,4,3,2,California,0.57,,,
California,Plumas,2022,359,148,182,25,4,0,0,California,0.59,,,
California,Riverside,2022,365,41,198,86,31,2,7,California,0.89,,,
California,Sacramento,2022,365,162,184,17,2,0,0,California,0.56,,,
California,San Benito,2022,365,297,68,0,0,0,0,California,0.19,,,
